county,state,# total covid cases,# covid cases per 100k,# covid deaths
Autauga County,Alabama,15863,28393.205534375054,216
Baldwin County,Alabama,55862,25023.96588333318,681
Barbour County,Alabama,5681,23013.043830511222,98
Bibb County,Alabama,6457,28833.61614718228,105
Blount County,Alabama,15005,25948.53526095528,243
Bullock County,Alabama,2319,22958.122958122956,54
Butler County,Alabama,5068,26059.234882764296,129
Calhoun County,Alabama,32453,28566.52436072356,627
Chambers County,Alabama,8508,25584.89204306249,162
Cherokee County,Alabama,5131,19586.959841197127,86
Chilton County,Alabama,11131,25054.019987395335,207
Choctaw County,Alabama,2051,16292.000953213123,36
Clarke County,Alabama,7154,30285.32723732114,101
Clay County,Alabama,4099,30970.910464676996,82
Cleburne County,Alabama,3566,23916.83433936955,69
Coffee County,Alabama,13643,26065.11023652134,231
Colbert County,Alabama,16356,29608.443004290293,261
Conecuh County,Alabama,2869,23775.58630977045,70
Coosa County,Alabama,2977,27918.97214667542,58
Covington County,Alabama,9355,25250.344138843153,232
Crenshaw County,Alabama,3834,27839.093813534706,100
Cullman County,Alabama,24649,29425.3175436921,367
Dale County,Alabama,12947,26330.025217603514,231
Dallas County,Alabama,8429,22661.038821378643,244
DeKalb County,Alabama,18799,26287.528141736468,330
Elmore County,Alabama,23420,28839.16807250428,347
Escambia County,Alabama,10081,27518.903720689,171
Etowah County,Alabama,28779,28140.767395470724,651
Fayette County,Alabama,4986,30585.204269414797,96
Franklin County,Alabama,9903,31576.43007461259,139
Geneva County,Alabama,6494,24719.27220128659,164
Greene County,Alabama,1877,23141.412896067068,49
Hale County,Alabama,4741,32359.56589993857,106
Henry County,Alabama,4584,26643.417611159544,76
Houston County,Alabama,25800,24366.74788915963,506
Jackson County,Alabama,15049,29150.040677178164,241
Jefferson County,Alabama,185930,28232.25367575045,2373
Lamar County,Alabama,3745,27127.85222745382,65
Lauderdale County,Alabama,24193,26090.004205804013,397
Lawrence County,Alabama,7682,23332.523387194753,160
Lee County,Alabama,37888,23026.33977950918,341
Limestone County,Alabama,25065,25339.93833089016,293
Lowndes County,Alabama,2628,27020.3578038248,77
Macon County,Alabama,3885,21502.103165818018,85
Madison County,Alabama,90395,24240.498352144896,968
Marengo County,Alabama,5196,27545.989503260353,108
Marion County,Alabama,8157,27456.32636574775,152
Marshall County,Alabama,27438,28352.65670531341,394
Mobile County,Alabama,113300,27419.471939207666,1653
Monroe County,Alabama,5276,25447.354459074908,80
Montgomery County,Alabama,55316,24423.584680730815,948
Morgan County,Alabama,36167,30220.00518052457,518
Perry County,Alabama,2096,23489.85767118682,47
Pickens County,Alabama,5271,26447.566482689414,102
Pike County,Alabama,7590,22920.818988947274,134
Randolph County,Alabama,5085,22379.19197253763,75
Russell County,Alabama,10112,17446.213833439728,93
Shelby County,Alabama,61273,28145.35465912118,452
St. Clair County,Alabama,25395,28370.49781034945,416
Sumter County,Alabama,2594,20873.903597006516,51
Talladega County,Alabama,22396,28002.70074270424,377
Tallapoosa County,Alabama,11445,28352.367032477025,234
Tuscaloosa County,Alabama,56301,26892.598695994842,786
Walker County,Alabama,18767,29544.56006674958,447
Washington County,Alabama,3736,22883.743721670955,59
Wilcox County,Alabama,2892,27880.07326713583,46
Winston County,Alabama,7576,32062.296330779973,131
Aleutians East Borough,Alaska,608,18219.958046149237,0
Aleutians West Census Area,Alaska,865,15353.212637557685,2
Bethel Census Area,Alaska,10333,56200.36984662243,41
Bristol Bay Borough,Alaska,608,72727.27272727274,2
Denali Borough,Alaska,353,16833.571769194088,0
Dillingham Census Area,Alaska,1873,38100.08136696501,11
Fairbanks North Star Borough,Alaska,27000,27878.449958182326,135
Haines Borough,Alaska,616,24347.826086956524,1
Hoonah-Angoon Census Area,Alaska,0,0.0,0
Kenai Peninsula Borough,Alaska,17569,29926.07481092866,103
Ketchikan Gateway Borough,Alaska,3985,28667.002373929936,21
Kodiak Island Borough,Alaska,4804,36959.53223572857,12
Kusilvak Census Area,Alaska,1508,18138.080346403654,4
Lake and Peninsula Borough,Alaska,121,7600.502512562814,0
Matanuska-Susitna Borough,Alaska,34494,31845.416693593805,240
Nome Census Area,Alaska,6187,61845.2618952419,5
North Slope Borough,Alaska,4075,41446.29780309194,9
Northwest Arctic Borough,Alaska,4751,62340.90014433801,14
Prince of Wales-Hyder Census Area,Alaska,251,4046.429147186845,4
Sitka City and Borough,Alaska,2545,29965.85423289768,6
Skagway Municipality,Alaska,30,2535.9256128486895,0
Southeast Fairbanks Census Area,Alaska,1903,27607.717974756997,20
Valdez-Cordova Census Area,Alaska,1885,20484.677244077375,19
Wrangell City and Borough,Alaska,71,2837.729816147082,0
Yakutat City and Borough,Alaska,63,10880.82901554404,2
Yukon-Koyukuk Census Area,Alaska,1434,27418.738049713193,10
Apache County,Arizona,22540,31354.76511747604,608
Cochise County,Arizona,31614,25106.018011149758,564
Coconino County,Arizona,44091,30730.575148456883,472
Gila County,Arizona,17398,32207.78259098819,379
Graham County,Arizona,12051,31029.688183948296,176
Greenlee County,Arizona,2226,23436.51295009476,32
La Paz County,Arizona,5227,24763.122986545386,143
Maricopa County,Arizona,1283590,28616.979391422952,17103
Mohave County,Arizona,57631,27161.244409254363,1435
Navajo County,Arizona,38394,34612.88810356641,902
Pima County,Arizona,255688,24414.506545056283,3803
Pinal County,Arizona,132748,28684.346430014542,1645
Santa Cruz County,Arizona,16683,35878.96253602306,228
Yavapai County,Arizona,48293,20541.55908787362,1195
Yuma County,Arizona,62751,29352.112149008124,1167
Arkansas County,Arkansas,5696,32574.631133478215,79
Ashley County,Arkansas,5115,26021.264689423617,66
Baxter County,Arkansas,8848,21100.82991510064,247
Benton County,Arkansas,67110,24041.61337818522,849
Boone County,Arkansas,9468,25293.86621072879,179
Bradley County,Arkansas,2997,27845.396264981882,49
Calhoun County,Arkansas,965,18597.032183465024,10
Carroll County,Arkansas,6138,21627.906976744187,102
Chicot County,Arkansas,2778,27456.01897608223,60
Clark County,Arkansas,5379,24099.462365591397,79
Clay County,Arkansas,4154,28547.866126039447,93
Cleburne County,Arkansas,6466,25948.07175247803,128
Cleveland County,Arkansas,2269,28519.35646053293,36
Columbia County,Arkansas,5438,23182.84520612184,95
Conway County,Arkansas,5491,26340.784802839873,65
Craighead County,Arkansas,37767,34230.32302505166,329
Crawford County,Arkansas,15884,25110.26447665871,249
Crittenden County,Arkansas,14315,29850.901887185904,226
Cross County,Arkansas,4835,29447.59120531092,83
Dallas County,Arkansas,1747,24925.096304751034,31
Desha County,Arkansas,3030,26670.18748349617,41
Drew County,Arkansas,4686,25720.401778363248,70
Faulkner County,Arkansas,35251,27975.4299364321,316
Franklin County,Arkansas,3818,21552.356759808074,73
Fulton County,Arkansas,2696,21607.758275226417,90
Garland County,Arkansas,23359,23503.310325397943,510
Grant County,Arkansas,4468,24462.085956747876,61
Greene County,Arkansas,16088,35494.76006618864,173
Hempstead County,Arkansas,4571,21228.86866059818,68
Hot Spring County,Arkansas,11237,33274.11092357348,136
Howard County,Arkansas,3763,28503.257082260265,50
Independence County,Arkansas,10639,28126.90019828156,212
Izard County,Arkansas,3906,28659.476117103237,70
Jackson County,Arkansas,6135,36694.77839583707,63
Jefferson County,Arkansas,18608,27846.282772656534,277
Johnson County,Arkansas,6830,25697.94566935059,87
Lafayette County,Arkansas,1298,19595.410628019326,31
Lawrence County,Arkansas,5324,32451.542118737045,78
Lee County,Arkansas,2912,32877.9496443491,59
Lincoln County,Arkansas,4920,37776.41277641278,68
Little River County,Arkansas,3281,26764.010115017536,104
Logan County,Arkansas,5130,23898.257709866768,80
Lonoke County,Arkansas,19951,27214.939502653153,243
Madison County,Arkansas,3975,23980.45366795367,61
Marion County,Arkansas,3409,20420.510363004672,88
Miller County,Arkansas,9596,22183.69281272395,181
Mississippi County,Arkansas,13608,33475.191262207576,210
Monroe County,Arkansas,1936,28891.21026712431,35
Montgomery County,Arkansas,1525,16970.843534386826,57
Nevada County,Arkansas,2188,26514.784294716435,46
Newton County,Arkansas,1719,22172.06242744744,47
Ouachita County,Arkansas,5484,23453.938927380037,104
Perry County,Arkansas,2523,24131.99426111908,37
Phillips County,Arkansas,4829,27156.675289618714,99
Pike County,Arkansas,2617,24416.86881880948,44
Poinsett County,Arkansas,8052,34223.05338320299,127
Polk County,Arkansas,4146,20767.381286315365,149
Pope County,Arkansas,18455,28803.53352478462,210
Prairie County,Arkansas,1965,24373.604564624162,43
Pulaski County,Arkansas,103939,26521.072386332613,1186
Randolph County,Arkansas,5217,29051.119278316073,89
Saline County,Arkansas,31019,25334.661907756643,339
Scott County,Arkansas,2299,22361.63797295983,43
Searcy County,Arkansas,2126,26976.27204669458,48
Sebastian County,Arkansas,32837,25688.62603362357,526
Sevier County,Arkansas,5943,34944.434644558125,75
Sharp County,Arkansas,4640,26602.453847035893,105
St. Francis County,Arkansas,7170,28686.88485236457,96
Stone County,Arkansas,2918,23332.800255877177,68
Union County,Arkansas,9268,23959.46435034383,176
Van Buren County,Arkansas,3489,21087.941976427923,62
Washington County,Arkansas,68841,28781.24647242534,620
White County,Arkansas,22164,28143.689764199462,292
Woodruff County,Arkansas,1732,27405.06329113924,31
Yell County,Arkansas,6859,32140.012183121693,106
Alameda County,California,268987,16094.1980902623,1854
Alpine County,California,125,11071.744906997343,0
Amador County,California,8614,21669.34996981284,86
Butte County,California,33386,15231.81225078244,424
Calaveras County,California,7379,16074.50168826925,120
Colusa County,California,3463,16071.842947974197,21
Contra Costa County,California,195983,16989.907466324992,1296
Del Norte County,California,5921,21289.371494319,49
El Dorado County,California,27212,14110.960729712771,211
Fresno County,California,233314,23352.393802028026,2755
Glenn County,California,5003,17620.5402740112,42
Humboldt County,California,17633,13007.716254297053,146
Imperial County,California,55757,30768.424247440886,917
